especie,rotacao,regiao,fazenda,projeto,estrato,talhao,idade,ano,pagina,arvore,dap,ht,vol,voltot
E.grandis,1,Salto,3,99,305,52,3.6,92,58707,6,7,12.81,22.573898,24.3
E.grandis,1,Salto,3,99,305,52,3.6,92,58707,7,6.68,12.52,20.544626,21.8
E.grandis,1,Salto,3,99,305,52,3.6,92,58805,5,7.96,14.77,31.30248,32.6
E.grandis,1,Salto,3,99,305,52,3.6,92,58904,4,10.5,16.38,67.795067,68.9
E.grandis,1,Salto,3,99,305,52,3.6,92,59004,4,12.1,18.21,92.76353,94
E.grandis,1,Salto,3,99,305,52,3.6,92,59104,4,13.69,19.81,133.066979,134
E.grandis,1,Salto,3,99,305,52,3.6,92,141803,1,5.41,10.77,9.163178,12
E.grandis,1,Salto,3,99,305,52,3.6,92,141803,2,4.77,9.6,7.471929,9.71
E.grandis,1,Salto,3,99,305,52,3.6,92,141803,3,5.41,10.49,11.965553,13.4
E.grandis,1,Salto,3,99,305,52,3.6,92,141903,1,6.37,12.97,17.099807,19.5
E.grandis,1,Salto,3,99,305,52,3.6,92,141903,2,7.32,11.95,24.303066,25.1
E.grandis,1,Salto,3,99,305,52,3.6,92,141903,3,6.37,12.89,19.869969,21.4
E.grandis,1,Salto,3,99,305,52,3.6,92,142003,1,7.96,14.43,35.214226,35.8
E.grandis,1,Salto,3,99,305,52,3.6,92,142003,2,9.23,16.72,55.17547,56
E.grandis,1,Salto,3,99,305,52,3.6,92,142003,3,8.91,14.68,40.020537,41.3
E.grandis,1,Salto,3,99,305,52,3.8,92,143007,4,10.82,19.28,78.203187,79.3
E.grandis,1,Salto,3,99,305,52,3.8,92,143007,5,11.14,18.96,92.726322,93.1
E.grandis,1,Salto,3,99,305,52,3.8,92,143007,6,11.14,19.78,89.621902,90.3
E.grandis,1,Salto,3,99,305,52,3.8,92,143007,7,10.19,17.06,62.225863,63.3
E.grandis,1,Salto,3,99,305,52,3.8,92,143109,5,12.41,20.23,112.821822,113
E.grandis,1,Salto,3,99,305,52,3.8,92,143109,6,11.46,18.72,86.980333,87.7
E.grandis,1,Salto,3,99,305,52,3.8,92,143109,7,11.78,17.66,84.016386,84.8
E.grandis,1,Salto,3,99,305,52,3.8,92,143109,8,12.41,19.34,101.465569,102
E.grandis,1,Salto,3,99,305,52,3.8,92,143109,9,13.05,20.44,127.822031,128
E.grandis,1,Salto,3,99,305,52,3.8,92,143209,5,14.32,19.53,129.849101,130
E.grandis,1,Salto,3,99,305,52,3.8,92,143209,6,14.64,20.57,158.148308,159
E.grandis,1,Salto,3,99,305,52,3.8,92,143209,7,13.37,20.89,123.761213,124
E.grandis,1,Salto,3,99,305,52,3.8,92,143209,8,13.37,19.58,122.379776,123
E.grandis,1,Salto,3,99,305,52,3.8,92,143209,9,14.32,21.76,156.056341,157
E.grandis,1,Salto,3,99,305,52,3.8,92,153507,6,4.46,10.63,4.338779,8.08
E.grandis,1,Salto,3,99,305,52,3.8,92,153507,7,5.41,10.96,10.283387,12.4
E.grandis,1,Salto,3,99,305,52,3.8,92,153607,6,7,12.81,22.573898,24.3
E.grandis,1,Salto,3,99,305,52,3.8,92,153607,7,6.68,12.52,20.544626,21.8
E.grandis,1,Salto,3,99,305,52,3.8,92,153705,5,7.96,14.77,31.30248,32.6
E.grandis,1,Salto,3,99,305,52,3.8,92,153804,4,10.5,16.38,67.795067,68.9
E.grandis,1,Salto,3,99,305,52,3.8,92,153904,4,12.1,18.21,92.76353,94
E.grandis,1,Salto,3,99,305,52,3.8,92,154004,4,13.69,19.81,133.066979,134
E.grandis,1,Salto,4,92,425,26,3.4,96,507301,1,5.09,12.14,10.283096,12.2
E.grandis,1,Salto,4,92,425,26,3.4,96,507607,1,10.82,19.02,86.2233,87.3
E.grandis,1,Salto,4,92,425,26,3.4,96,507607,2,10.82,19.83,86.618292,87.4
E.grandis,1,Salto,4,92,425,26,3.4,96,507607,3,9.55,17.37,62.596391,63.2
E.grandis,1,Salto,4,92,425,26,3.4,96,507607,4,9.87,17.12,59.670406,60.7
E.grandis,1,Salto,4,92,425,26,3.4,96,507607,5,11.14,19.82,86.124646,86.9
E.grandis,1,Salto,4,92,425,26,3.4,96,507607,6,9.55,18.92,60.241885,61.7
E.grandis,1,Salto,4,92,425,26,3.4,96,507607,7,10.19,19.05,71.985229,72.8
